-1413	785	1676	31687	3641	-1245	-6546	-32611	
-1369	426	-2233	24007	3708	-874	-3014	-20270	
-1541	-95	-7161	-18406	3900	-501	659	16563	
-1680	-286	-9111	-32664	3976	-203	3248	31625	
-1681	-103	-6727	-32339	3948	-527	793	27349	
-1654	334	-2619	1318	3827	-822	-2472	-4258	
-1420	537	-769	24544	3707	-963	-4265	-22231	
-1417	308	-2882	17213	3699	-787	-2121	-13943	
-1520	-167	-8116	-18360	3924	-254	2544	19889	
-1766	-559	-11249	-32643	4004	46	6218	31625	
-1733	-363	-9213	-32597	3985	-93	5093	31643	
-1632	333	-2985	1624	3847	-683	-1301	205	
-1475	781	2167	31689	3695	-1144	-6192	-32623	
-1318	867	2774	31673	3582	-1267	-7305	-32649	
-1398	439	-1528	28391	3654	-899	-3544	-31329	
-1469	-154	-7181	-17950	3887	-315	2412	16818	
-1733	-331	-9171	-32661	4056	-59	4859	31621	
-1644	25	-5458	-29435	3859	-482	1006	27097	
-1557	594	694	19893	3675	-1126	-5406	-23727	
-1347	906	3002	31694	3634	-1357	-8260	-32645	
-1352	465	-965	29637	3679	-1016	-5070	-32580	
-1504	-288	-8013	-23206	3906	-415	1738	14483	
-1692	-625	-12173	-32648	3963	149	6932	31587	
-1757	-411	-9804	-32633	4008	-48	5072	31674	
-1642	292	-2576	-1520	3862	-722	-1864	3116	
-1444	925	4029	31695	3637	-1365	-8821	-32649	
-1299	1074	5457	31717	3563	-1613	-10447	-32587	
-1391	559	84	30553	3611	-1184	-5531	-32516	
-1500	-145	-7217	-23083	4059	-350	1863	21627	
-1702	-355	-9280	-32646	3980	-164	4559	31643	
-1670	134	-4714	-28472	3963	-560	41	27807	
-1521	768	1500	21364	3704	-1166	-6260	-22645	
-1362	954	4148	31684	3651	-1446	-9079	-32639	
-1333	689	1133	31374	3592	-1172	-6310	-32617	
-1464	99	-4510	-7078	3832	-766	-1830	140	
-1608	-283	-8064	-32641	3910	-407	1959	30815	
-1665	-41	-6269	-32626	3903	-517	315	31337	
-1665	483	-777	-213	3774	-1083	-5263	-7771	
-1403	881	3267	31655	3588	-1532	-9325	-32636	
-1333	770	2216	31654	3574	-1449	-8454	-32593	
-1405	265	-2812	6736	3795	-931	-3227	-10172	
-1501	-82	-7196	-31700	3992	-395	2305	31513	
-1712	-136	-6781	-32641	3941	-359	2923	31594	
-1644	380	-2614	-14669	3843	-736	-1499	20325	
-1568	713	1310	23754	3752	-1184	-5734	-19394	
-1384	751	1779	31471	3730	-1270	-6856	-32583	
-1368	537	-846	19545	3627	-1115	-4799	-23411	
-1442	286	-3365	-5967	3906	-881	-2381	87	
-1488	339	-2854	-11059	3853	-849	-2360	9027	
-1553	609	133	6603	3703	-1071	-4927	-6919	
-1393	864	2434	26855	3583	-1413	-7525	-27744	
-1409	677	385	20485	3657	-1225	-5961	-22755	
-1423	151	-4808	-14440	3911	-750	-1129	11065	
-1652	-239	-8397	-32600	3958	-384	2977	31666	
-1685	-38	-6978	-32614	4003	-407	2516	31660	
-1640	473	-1708	-6194	3827	-786	-1744	13287	
-1523	901	2711	31137	3653	-1237	-5850	-22749	
-1339	963	3143	31679	3593	-1310	-6973	-32661	
-1373	571	-314	24287	3730	-1085	-4145	-22717	
-1403	230	-4055	-10459	3763	-776	-1135	6623	
-1599	227	-4363	-22884	3904	-811	-1149	16108	
-1556	545	-957	-4088	3768	-1116	-4539	-5632	
-1452	926	2653	25700	3611	-1540	-8734	-32547	
-1312	871	1955	30854	3648	-1502	-8269	-32636	
-1400	383	-2824	513	3783	-1118	-4327	-14917	
-1509	-21	-7042	-32545	3895	-702	-395	22917	
-1706	17	-6631	-32618	3876	-602	961	31682	
-1592	438	-2357	-15091	3846	-990	-3231	14637	
-1516	786	1445	22738	3624	-1450	-7191	-24653	
-1339	723	450	28083	3612	-1327	-6108	-26696	
-1479	69	-5694	-10295	3847	-842	-808	7763	
-1621	-498	-11445	-32667	3989	-139	5503	31613	
-1740	-538	-11941	-32643	4039	-7	7077	31582	
-1655	-77	-6827	-29254	3995	-437	2791	31247	
-1630	586	-434	21396	3664	-1121	-3952	-16120	
-1328	919	2679	31663	3701	-1441	-8097	-32643	
-1360	615	-623	31413	3552	-1239	-5525	-32615	
-1452	-87	-7245	-12213	3931	-576	1299	7555	
-1650	-432	-10463	-32622	3983	-141	6182	31611	
-1702	-101	-7266	-32557	3963	-375	3119	31465	
-1596	503	-1557	8022	3803	-1011	-3866	-11829	
-1436	802	1875	31726	3596	-1585	-8632	-32584	
-1325	670	208	31638	3615	-1557	-8484	-32585	
-1400	114	-5606	-1008	3827	-1032	-3312	-20998	
-1553	-456	-10825	-32642	3971	-451	2424	29049	
